6,2014-01-01 07:40:58,,同意,同意,同意,反对,反对,同意,同意,反对,反对,同意,反对,强烈同意,反对,同意,反对,反对,同意,同意,反对,反对,反对,同意,同意,反对,同意,强烈反对,强烈反对,反对,同意,反对,同意,反对,反对,同意,反对,反对,同意,反对,同意,同意,同意,反对,同意,同意,反对,反对,反对,反对,反对,同意,M,1982,300k+,研究生及以上
7,2014-01-01 07:48:59,,同意,反对,强烈反对,同意,反对,同意,反对,强烈同意,强烈同意,同意,反对,同意,强烈反对,同意,强烈同意,同意,同意,强烈反对,反对,强烈同意,反对,同意,同意,反对,同意,同意,同意,反对,反对,同意,同意,反对,同意,反对,同意,反对,同意,同意,同意,同意,反对,同意,同意,反对,反对,同意,同意,反对,反对,反对,F,1995,0-25k,大学
8,2014-01-01 07:47:00,,同意,反对,强烈反对,同意,同意,反对,反对,强烈同意,强烈同意,同意,强烈反对,强烈反对,强烈同意,同意,强烈同意,强烈同意,强烈反对,反对,强烈反对,同意,反对,反对,强烈反对,强烈反对,同意,同意,强烈同意,同意,反对,同意,强烈反对,反对,反对,反对,同意,强烈同意,同意,同意,反对,同意,反对,强烈反对,同意,强烈反对,强烈反对,强烈同意,反对,强烈同意,反对,反对,M,1982,25k-50k,大学
9,2014-01-01 08:10:42,,强烈同意,同意,强烈反对,同意,同意,强烈反对,反对,反对,同意,同意,同意,强烈反对,同意,强烈反对,同意,同意,强烈反对,反对,反对,强烈同意,同意,同意,同意,反对,同意,反对,反对,同意,强烈反对,反对,强烈反对,强烈反对,同意,反对,同意,反对,反对,同意,反对,反对,同意,反对,同意,反对,反对,强烈同意,反对,反对,强烈同意,同意,M,1995,0-25k,高中
10,2014-01-01 08:21:36,,反对,同意,同意,强烈反对,反对,同意,同意,反对,反对,反对,强烈同意,同意,强烈同意,反对,同意,反对,同意,反对,反对,同意,同意,反对,反对,同意,反对,反对,反对,同意,反对,强烈同意,反对,强烈同意,同意,同意,反对,反对,同意,反对,强烈反对,强烈反对,同意,反对,反对,同意,同意,反对,同意,强烈反对,强烈同意,同意,F,1983,50k-75k,大学
11,2014-01-01 08:19:30,,同意,反对,强烈反对,反对,同意,反对,反对,反对,强烈同意,同意,同意,同意,同意,反对,强烈同意,同意,反对,反对,反对,同意,反对,同意,同意,同意,反对,反对,反对,强烈同意,反对,同意,反对,反对,同意,同意,同意,同意,反对,同意,反对,同意,同意,同意,反对,同意,反对,同意,同意,反对,反对,反对,M,1993,0-25k,大学
12,2014-01-01 08:20:18,,强烈同意,强烈同意,强烈反对,强烈反对,强烈同意,强烈反对,强烈同意,强烈反对,强烈反对,强烈反对,强烈反对,强烈同意,强烈同意,强烈同意,强烈同意,强烈反对,强烈同意,强烈同意,强烈反对,强烈同意,强烈同意,强烈反对,强烈反对,强烈反对,强烈反对,强烈同意,强烈反对,强烈同意,强烈反对,强烈同意,同意,强烈同意,强烈同意,强烈反对,强烈同意,强烈反对,强烈反对,强烈同意,强烈反对,强烈反对,强烈反对,强烈反对,强烈反对,强烈反对,强烈同意,强烈反对,强烈反对,强烈反对,强烈同意,强烈反对,M,1989,50k-75k,大学
13,2014-01-01 08:20:38,,反对,同意,强烈同意,反对,强烈反对,反对,强烈反对,强烈反对,反对,反对,强烈反对,同意,反对,同意,反对,强烈反对,强烈同意,同意,强烈反对,同意,同意,同意,同意,强烈反对,同意,反对,同意,强烈同意,强烈同意,反对,反对,反对,反对,强烈反对,同意,反对,同意,同意,反对,同意,反对,反对,强烈反对,反对,强烈反对,同意,同意,反对,同意,同意,M,1997,0-25k,高中
14,2014-01-01 09:06:05,,反对,同意,强烈同意,强烈反对,强烈反对,强烈同意,同意,强烈反对,强烈反对,强烈反对,强烈反对,强烈同意,同意,强烈反对,强烈同意,反对,强烈同意,强烈同意,强烈同意,同意,强烈反对,强烈反对,强烈反对,同意,强烈同意,反对,反对,强烈同意,同意,反对,强烈同意,强烈同意,强烈反对,强烈同意,同意,强烈反对,强烈同意,强烈同意,反对,强烈反对,强烈反对,强烈同意,强烈同意,强烈同意,强烈反对,强烈反对,强烈同意,强烈反对,强烈同意,强烈同意,M,1985,0-25k,高中
15,2014-01-01 08:53:35,,同意,同意,反对,同意,反对,同意,反对,反对,反对,反对,同意,同意,同意,同意,同意,反对,同意,反对,反对,同意,反对,反对,同意,反对,反对,反对,反对,同意,反对,同意,同意,反对,反对,同意,反对,同意,同意,反对,同意,同意,同意,同意,反对,同意,反对,反对,同意,反对,同意,同意,M,1978,300k+,研究生及以上
